id,timestamp,current_a_oel,current_a_oer,p_w_oel,p_w_oer,q_va_oel,q_va_oer
line_1,2026-06-29 07:00:00,59.1507,63.922348,24440.237119,-26452.407342,2040.482094,2134.372857
line_2,2026-06-29 07:00:00,2.051282,1.940037,1.737744,-297.253365,800.673241,800.602199
tx1,2026-06-29 07:00:00,59.150754,63.922406,24455.865144,-26434.156211,2119.788492,2226.990535
line_1,2026-06-29 07:30:00,57.102424,65.837391,23414.289947,-27082.750785,3484.402849,3655.980052
line_2,2026-06-29 07:30:00,4.102564,3.913217,6.786876,-629.96627,1602.692965,1602.450122
tx1,2026-06-29 07:30:00,57.102475,65.837451,23428.854375,-27063.389706,3558.311883,3754.230304
line_1,2026-06-29 08:00:00,55.34222,67.866183,22410.15973,-27692.021538,4896.100984,5142.45754
line_2,2026-06-29 08:00:00,6.153846,5.877146,15.20222,-948.972508,2406.059171,2405.526535
tx1,2026-06-29 08:00:00,55.34227,67.866245,22423.840089,-27671.448844,4965.523701,5246.856289
line_1,2026-06-29 08:30:00,53.875847,69.983422,21427.518551,-28280.577966,6275.188963,6593.472923
line_2,2026-06-29 08:30:00,8.205128,7.843876,26.949273,-1268.231441,3210.77186,3209.844221
tx1,2026-06-29 08:30:00,53.875896,69.983486,21440.483552,-28258.701625,6340.981506,6704.487191
line_1,2026-06-29 09:00:00,52.93116,71.902268,20624.097201,-28781.740882,7463.463245,7841.08103
line_2,2026-06-29 09:00:00,9.74359,9.317742,37.994589,-1504.210808,3815.190006,3813.891251
tx1,2026-06-29 09:00:00,52.931209,71.902333,20636.611519,-28758.648459,7526.968736,7958.266461
line_1,2026-06-29 09:30:00,52.208906,71.917757,19823.103677,-28426.397251,8656.488725,9049.571677
line_2,2026-06-29 09:30:00,11.282051,11.732827,50.967713,-2645.039483,4420.365546,4422.025477
tx1,2026-06-29 09:30:00,52.208953,71.917822,19835.278805,-28403.294877,8718.272954,9166.807602
line_1,2026-06-29 10:00:00,52.208906,71.247969,19823.103671,-28138.97736,8656.488724,9035.686164
line_2,2026-06-29 10:00:00,11.282051,12.114681,50.967716,-2950.203594,4420.365546,4423.482481
tx1,2026-06-29 10:00:00,52.208953,71.248033,19835.278798,-28116.3033,8718.272954,9150.748561
line_1,2026-06-29 10:30:00,52.931038,70.76045,20624.044159,-28296.975537,7463.461173,7816.553994
line_2,2026-06-29 10:30:00,9.743589,9.819427,38.028976,-2017.375455,3815.190004,3815.427383
tx1,2026-06-29 10:30:00,52.931086,70.760515,20636.558419,-28274.610712,7526.966371,7930.047137
line_1,2026-06-29 11:00:00,53.875722,69.98338,21427.465256,-28280.561595,6275.186808,6593.466757
line_2,2026-06-29 11:00:00,8.205128,7.841792,26.983775,-1265.746052,3210.771859,3209.838992
tx1,2026-06-29 11:00:00,53.875771,69.983444,21440.430197,-28258.68528,6340.979045,6704.480892
line_1,2026-06-29 11:30:00,55.34222,67.866183,22410.15973,-27692.021538,4896.100984,5142.45754
line_2,2026-06-29 11:30:00,6.153846,5.877146,15.20222,-948.972472,2406.059171,2405.526535
tx1,2026-06-29 11:30:00,55.34227,67.866245,22423.840089,-27671.448843,4965.523701,5246.856289
line_1,2026-06-29 12:00:00,57.102424,65.837391,23414.289947,-27082.750781,3484.402849,3655.980042
line_2,2026-06-29 12:00:00,4.102564,3.913209,6.786876,-629.957236,1602.692965,1602.450113
tx1,2026-06-29 12:00:00,57.102475,65.837451,23428.854375,-27063.389701,3558.311883,3754.230294
line_1,2026-06-29 12:30:00,59.1507,63.922349,24440.237118,-26452.40756,2040.482094,2134.373383
line_2,2026-06-29 12:30:00,2.051282,1.940863,1.737745,-298.239575,800.673241,800.602712
tx1,2026-06-29 12:30:00,59.150754,63.922407,24455.865144,-26434.156429,2119.788492,2226.991063
